,importance
Adult_Mortality,0.07503007
log_percentage_expenditure,0.007025827
BMI,0.011635761
under-five_deaths,0.063243225
Polio,0.024586901
HIV/AIDS,0.5905284
log_GDP,0.0073282383
log_Population,0.0039642192
schooling_x_income,0.20789775
Status_binary,0.0087595545
